Pose index,x,y,z,qx,qy,qz,w
1,0.073529735207,1.8616864681,0.6982891559,-0.63073295354,0.77394610643,0.039285354316,0.040499616414
2,0.035234384238,1.7261798381,0.69889491796,0.57033079862,-0.8193569779,-0.040816497057,-0.041366040706
3,-0.080195635557,1.438977003,0.6973824501,0.54988735914,-0.83300501108,-0.038863539695,-0.04707673192
4,-0.22261343896,1.14861238,0.69476830959,0.53230196237,-0.84442722797,-0.036742102354,-0.047406032681
5,-0.38374978303,0.9597069025,0.7333413362,-0.015971584245,-0.007718400564,-0.82770329713,0.5608856678
6,-0.62507075071,0.6011664867,0.74620056152,-0.024803129956,0.007326900959,-0.8299434185,0.55724781751
7,-0.81328654289,0.36760425567,0.75218969583,0.5468540787,-0.83643054962,-0.035011250525,-0.01042688731
8,-0.92752569913,0.13765126466,0.764301955,-0.023747438564,-0.018830729648,-0.75660401582,0.65317064523
9,-0.99149483442,-0.2102396637,0.75495958328,0.68886905908,-0.72436010837,-0.023179709911,-0.014989710412
10,-1.0304977893,-0.6962807178,0.76575261354,0.70954316854,-0.70451527833,-0.012644685804,-0.0068465019576
11,-0.90266686677,-1.1610547304,0.692901253,-0.84056615829,0.53783744573,0.05710125342,0.030315294861
12,-0.53948497772,-1.3824771642,0.74109023809,-0.041745699942,-0.0019071658607,-0.19049865007,0.98079758882
13,-0.31511187553,-1.435239911,0.73904120922,0.98911195993,-0.14019580185,-0.04449930042,0.004752928391
14,-0.12698468565,-1.4697173833,0.6970128417,-0.028260447084,0.02121261321,-0.076394796371,0.99645137786
15,0.11782834678,-1.5210362672,0.69361263513,-0.9822192192,0.17938625812,0.05530263856,0.0027855637017
16,0.40146070718,-1.6534824371,0.71129935979,0.98019140958,-0.17828461527,-0.081693552434,0.027671145275
17,0.89692914485,-1.4916985034,0.77005380392,-0.022138265892,-0.026939297094,0.260710746,0.96478706598
18,1.1461936235,-1.241109848,0.7997963428,-0.021391009911,0.005386034958,-0.38118013739,-0.9242376089
19,1.2395385503,-0.78994184732,0.72599416971,0.78881639242,0.61283230781,0.00082699535414,0.046952918171
20,1.2717444896,-0.71760070323,0.69543594121,-0.76945859193,-0.63598006963,0.03756828233,-0.045294750481
21,1.4802162647,1.7387161254,0.72058808803,-0.66611891984,0.74485993385,0.034936159849,0.015772208571
22,1.4782522916,1.7086877822,0.70245164632,0.67023807764,-0.7404679656,-0.035455118864,-0.035086333751
23,1.427788257,1.4338564872,0.7242552638,-0.02606014162,-0.011940720491,-0.7483498454,0.66268461942
24,1.3541806936,1.1453347206,0.77853542566,0.0092546483501,-0.0090120891109,0.74717080593,-0.6645065546
25,1.3125550746,0.990103483,0.69853109121,-0.0045644589699,-0.0078073083423,0.77839529514,-0.62770938873
26,1.2382320165,0.78094410896,0.69788175821,0.00097984250169,0.0068840575404,-0.79309648275,0.60905635356
27,1.104664087,0.20499028265,0.70886117219,-0.5579637885,0.82670384645,0.046824034303,0.05517857894
28,1.120113492,0.20862287282,0.69600307941,-0.57877707481,0.81355077028,0.038047045469,0.041289925575
29,1.0151436328,-0.25203573703,0.75679576396,0.6136367321,-0.78741455078,-0.05147184804,-0.027909813448
30,0.82538181543,-0.54856532812,0.73550266027,-0.41990286111,0.90664684772,0.0251252781,0.032276239246
31,0.70497983694,-0.80926179885,0.71760398149,-0.37893879413,0.92451071739,0.0043052895925,0.040828049182
32,0.57720196247,-1.0210102796,0.7155944705,-0.43135526776,0.9021756649,0.003313462017,0.00090990279568
33,0.55853033065,-1.0794701576,0.70646136999,0.4276561737,-0.90237468481,-0.0248469393,-0.047039948403
34,0.28759604692,-1.4196037054,0.69601291418,0.01447074767,-0.010339485481,0.96367853879,-0.26647219061
35,0.025067202746,-1.4478613138,0.70155459642,0.006640552543,0.013758793473,-0.99451863765,0.10343778133
36,0.02362537384,-1.4348304271,0.69330477714,-0.061545636504,0.99640399217,0.012481058947,0.056882523
37,-0.38057306408,-1.5204540491,0.73209565877,0.010374070145,-0.02403943985,0.98487532138,-0.17127540707
38,-0.7274788618,-1.4168670177,0.76338356733,-0.0037332875654,-0.011355254799,-0.99922537803,0.03749597072
39,-1.1296463012,-1.2601443529,0.71231424808,0.12284635007,0.99117201566,0.029435168951,0.040253646671
40,-1.4137500524,-1.0970548391,0.72492331266,-0.20691603422,-0.9776942133,-0.007843398489,-0.03518966585
41,-1.638125181,-0.88705694675,0.68529301881,-0.31047755479,-0.9487285614,0.011593774892,-0.058167066425
42,-1.25491333,-0.6618778705,0.6946346759,-0.94391101598,-0.32137352228,0.074977301061,-0.011380627751
43,-1.2344989776,-0.62210786342,0.68678706884,-0.9440079331,-0.32506138086,0.048075202852,-0.029546745121
44,-0.55253988504,-0.68092703819,0.72572141885,-0.99864631891,0.049571495503,0.015153121203,0.0043289456516
45,-0.157085403,-0.80247700214,0.70927518606,-0.99515944719,0.090818315744,0.037388585507,-0.003430772107
46,0.090738870203,-0.9949799776,0.729315102,-0.010938371531,0.031931649893,0.11133227497,-0.99320995807
47,0.29145056009,-1.2034050226,0.72027242183,0.93732911348,-0.34705168008,-0.029374456033,-0.010313907638
48,0.49567043781,-1.3585219383,0.69551122188,0.0093590812757,-0.0060366145335,0.3349199593,-0.94218081235
49,0.48672735691,-1.3686269521,0.69406729936,-0.92108613252,0.38564923405,0.051812451332,0.01380128134
50,0.69394725561,-1.5027076005,0.69810247421,-0.015778085216,0.028657976537,-0.39730563759,0.91710311174
51,0.93739932775,-1.6664841175,0.72502458095,0.90606087446,-0.41579139232,-0.077009320259,-0.015520002692
52,0.99284702539,-1.7113369703,0.72616696357,0.90595465898,-0.4174934327,-0.070208013057,-0.0040269456803
53,0.99284702539,-1.7113369703,0.72616696357,0.90595465898,-0.4174934327,-0.070208013057,-0.0040269456803
54,1.2486137151,-2.337316989,0.70383691787,-0.78468769788,-0.61649167537,0.034380484372,-0.054965998977
55,1.2486137151,-2.337316989,0.70383691787,-0.78468769788,-0.61649167537,0.034380484372,-0.054965998977
56,1.2486137151,-2.337316989,0.70383691787,-0.78468769788,-0.61649167537,0.034380484372,-0.054965998977
57,0.96439558267,-1.513934493,0.70118528604,0.41890072822,0.90672385692,-0.0040602707304,0.048555139452
58,0.94248658418,-1.5115272998,0.69583714008,0.40567657351,0.91196727752,-0.00061823043506,0.061170767992
59,0.76571297645,-1.453446269,0.69377893209,0.007512403652,0.011889567598,-0.97019004821,-0.24193702638
60,0.39316961169,-1.2897638082,0.7085545659,0.23530574142,0.96897959709,0.014860328286,0.074087359011
61,0.36940848827,-1.2715383768,0.69369155168,0.20371891558,0.97733652591,0.0020640695001,0.057513874024
62,0.15054777264,-1.2688009738,0.69297486543,-0.0067139724269,-0.001789854723,0.98907929658,0.14722034335
63,-0.43985927104,-0.95653772354,0.71002984046,0.015493476763,0.017678868025,-0.96431410312,-0.263715505
64,-0.652629911,-1.0228646993,0.70929121971,0.0005016137729,0.019836027175,-0.99926537275,0.032788090407
65,-0.67513263225,-1.0458241701,0.68937397003,-0.024287855252,0.99807560443,0.010707505978,0.05604136735
66,-0.9660193324,-1.3173658847,0.72943043708,0.2124735713,-0.97628778219,-0.01216616947,-0.03961290419
67,-1.09371411,-1.6381237506,0.70339334011,0.30622518062,-0.95133084058,-0.014603816904,-0.031345874071
68,-1.1429525613,-1.6902039051,0.68861514329,0.31025469303,-0.94943380355,-0.024190943688,-0.041620191186
69,-1.1328575611,-1.8624050617,0.692199409,0.4849873781,-0.8729538321,-0.029628172516,-0.043141953647
70,-1.1238613128,-2.0312049388,0.69031453132,0.60323250293,-0.79573386907,-0.038788955658,-0.037598710507
71,-1.1560860872,-1.8972740173,0.70046550035,-0.13922694325,0.98890596628,0.0180328171,0.04853487387
72,-1.0848870277,-1.662508487,0.69059455394,0.0054608564823,0.0014952042838,-0.91956877708,-0.39288839697
73,-1.0834845304,-1.5221532583,0.72838270664,0.48585817217,0.8731878995,-0.016568161547,0.034790284931
74,-1.2351139783,-1.165516376,0.70921993255,0.4786992073,0.8773035407,-0.0082783401012,0.033422935754
75,-1.4148086309,-0.86760342121,0.73046445846,0.029456732794,-0.017205921933,0.9229068756,0.38350898027
76,-1.5069339275,-0.59372431039,0.721265316,0.047568790614,-0.029779465869,0.95120239257,0.30342149734
77,-1.1259995698,-0.47232484817,0.69210636615,0.86226463317,0.50333422422,-0.049511648714,0.026515267789
78,-1.1426376104,-0.46724295616,0.687067151,0.862781167,0.50238287448,-0.041924905031,0.038244690746
79,-0.87995445728,-0.51207005977,0.6883406639,0.9951053857,0.082300066947,-0.052239522337,0.01621868833
80,-0.61320918798,-0.67645156383,0.72504210472,0.98571795225,-0.16565029323,-0.026196083053,-0.015292753465
81,-0.36108580231,-0.91029113531,0.73845392465,-0.97176253795,0.23541237413,0.015703935176,0.0034691879991
82,-0.20448480546,-1.135736823,0.75019735097,-0.96157693862,0.27430257201,-0.0020387368276,-0.011122886091
83,-0.17646795511,-1.1962995529,0.69227689504,-0.96284896135,0.26474580168,0.052942406386,0.0053619947284
84,0.19028520584,-1.0988378524,0.69475245475,0.010097699239,0.002747858176,0.046177338808,-0.99887841939
85,0.19639725983,-1.09889841,0.69341504573,0.0068780458532,-0.0029311897233,0.038596224039,-0.99922698736
86,0.70857262611,-0.88134336471,0.69545084238,-0.0091981766745,0.0086146956309,0.18971915543,0.98175752162
87,0.69606608152,-0.8800841569,0.69442659616,-0.98625338077,-0.15546531975,0.05337553098,-0.016909791156
88,1.0636758804,-0.68689072132,0.71734517812,-0.009583297185,-0.038268275558,0.33886134624,0.94000893831
89,1.0655344724,-0.68326926231,0.69432240724,0.016742223873,0.004409486427,-0.26808390021,-0.96323996782
90,1.0988386869,-0.94672429561,0.71815961599,0.8370603919,-0.54562246799,-0.03207533434,-0.024441106244
91,1.2231769561,-1.118718385,0.70066612958,0.821422398,-0.5674692988,-0.04866791889,-0.02958453074
92,1.2231769561,-1.118718385,0.70066612958,0.821422398,-0.5674692988,-0.04866791889,-0.02958453074
93,1.2231769561,-1.118718385,0.70066612958,0.821422398,-0.5674692988,-0.04866791889,-0.02958453074
94,0.79496228694,-1.7312192916,0.72044986486,-0.30013382434,0.9473055005,-0.045299135148,0.10237154364
95,0.50151669979,-1.7513257265,0.72277027368,-0.01017885189,-0.01517631486,-0.97531962394,0.22004027664
96,0.15085697174,-1.5961791276,0.7436478734,-0.0011146473698,-0.0055477870628,0.999905169,-0.012564213015
97,0.092270851135,-1.62165451,0.6936337351,-0.0045490236952,-0.0037051353137,0.99731898307,-0.072942398488
98,-0.41229382157,-1.3854486942,0.71035230159,0.041698344051,0.99802470207,0.024987652897,0.039796248078
99,-0.5926605463,-1.0707665681,0.7154752016,0.26329159736,0.96371376514,0.0090513881295,0.043029867112
100,-0.6343008279,-1.0382319688,0.68872612714,-0.21266174316,-0.97543388605,0.00046358848339,-0.057475864887
101,-0.98537230491,-0.70422828197,0.69805860519,-0.3230831921,-0.94451355934,0.0025222036056,-0.05920299142
102,-0.9158982038,-0.50794380903,0.71295857429,0.64783722162,0.76106023788,-0.026939954608,0.019202653318
103,0.45296868681,1.7244271,0.72588390111,0.011586580425,0.031877480447,0.85529357194,-0.51703238487
104,0.2198524326,1.414835453,0.73502707481,-0.46117615699,0.8853456974,0.023583633825,0.054069839417
105,-0.13569703698,1.0612982511,0.71058320999,0.38734525442,-0.92122012376,0.014895109459,-0.033096291124
106,-0.40067017078,0.84586066007,0.70796835422,-0.36216634511,0.929752171,0.021189775317,0.062828809022
107,-0.64030104875,0.63739585876,0.72746700048,-0.37343502044,0.92478722333,0.0326373986,0.065190732479
108,-1.000051379,0.28827628493,0.7194723486,0.42826724052,-0.90203952789,-0.02620039694,-0.047175846993
109,-1.1418827772,-0.17416357994,0.72022384405,-0.56433284282,0.82190847396,0.0648785308,0.042257491499
110,-1.2536749839,-0.68702924251,0.71217024326,-0.54971426725,0.83360564708,0.02187971584,0.049368627369
111,-1.12589824,-0.98288637399,0.72619640827,0.66644835472,-0.74344366788,-0.032578345388,-0.045572645962
112,-0.92378860712,-1.3290437459,0.71390467882,-0.007899088785,-0.013268143869,0.57563400268,-0.81756168603
113,-0.91703408956,-1.4782383441,0.69334697723,-0.6453282833,0.76097887754,0.055958949029,0.036486290395
114,-1.023227095,-1.5253307819,0.69325375556,-0.38747429847,0.9206904172,0.0075422176159,0.046215999871
115,-1.1407390832,-1.5108044147,0.68796753883,0.18899562954,-0.98082417249,-0.016057003289,-0.04479779675
116,-1.1792200803,-1.4545410871,0.72047746181,-0.09809859842,0.99371939897,0.00015164412616,0.053836606442
117,-1.3017811775,-1.2821011543,0.68826240301,-0.22508078813,-0.97300982475,-8.61E-05,-0.050897322595
118,-1.3470005989,-1.1610064506,0.69051074981,-0.34421178698,-0.93734711408,0.0034989102277,-0.053726602345
119,-1.3365687131,-1.0128505229,0.68943500518,0.0017574235098,-0.0056188320741,0.90844798088,0.41795644164
120,-1.349699974,-1.0076917409,0.68636500835,0.45962238311,0.88622641563,-0.017537251114,0.055160120129
